episode: 0, cum_reward: -47.023106267657276, step_num:49
episode: 1, cum_reward: -266.3103844117044, step_num:268
episode: 2, cum_reward: -54.28488092816062, step_num:53
episode: 3, cum_reward: -121.875361196285, step_num:122
episode: 4, cum_reward: -27.180061088433995, step_num:30
episode: 5, cum_reward: -298.0640852905892, step_num:300
episode: 6, cum_reward: -179.488088040732, step_num:181
episode: 7, cum_reward: -148.89135252457916, step_num:150
episode: 8, cum_reward: -213.52243973989323, step_num:213
episode: 9, cum_reward: -279.5493975300106, step_num:278
episode: 10, cum_reward: -297.1889851789633, step_num:300
episode: 11, cum_reward: -107.82229404948467, step_num:108
episode: 12, cum_reward: -31.488315981005115, step_num:30
episode: 13, cum_reward: -293.6543806448582, step_num:300
episode: 14, cum_reward: -113.64050403031668, step_num:114
episode: 15, cum_reward: -166.9738377735688, step_num:167
episode: 16, cum_reward: -166.12210854721803, step_num:167
episode: 17, cum_reward: -163.14535265720525, step_num:164
episode: 18, cum_reward: -195.00629753346868, step_num:196
episode: 19, cum_reward: -150.09966708110125, step_num:151
episode: 20, cum_reward: -60.292183964014555, step_num:61
episode: 21, cum_reward: -294.54500847270054, step_num:300
episode: 22, cum_reward: -72.01870803779691, step_num:73
episode: 23, cum_reward: -196.1849049389247, step_num:197
episode: 24, cum_reward: -294.67411374230835, step_num:300
episode: 25, cum_reward: -294.1518592096118, step_num:300
episode: 26, cum_reward: -295.1608616236014, step_num:300
episode: 27, cum_reward: -293.6484047785988, step_num:300
episode: 28, cum_reward: -17.887825512049517, step_num:20
episode: 29, cum_reward: -55.18038565832469, step_num:57
episode: 30, cum_reward: -148.47569127997238, step_num:150
episode: 31, cum_reward: -138.10634679959543, step_num:143
episode: 32, cum_reward: -49.737334337853696, step_num:56
episode: 33, cum_reward: -27.439193851142917, step_num:29
episode: 34, cum_reward: -74.28295761485165, step_num:78
episode: 35, cum_reward: -22.363459206076012, step_num:25
